"satisfaction","value","fair","auto","home","geico_customer","relationship_length","monthly_payment","age","Condition","ad_engaging","ad_understands","ad_purchase"
4,4,6,3,2,2,3,1979748297,121,"A",6,6,2
1,7,5,5,5,1,2,390725284,76,"A",1,5,5
5,6,3,3,2,2,3,64353850,87,"B",4,4,2
7,5,1,5,2,2,1,1653731783,87,"B",6,1,7
1,6,2,5,3,1,2,766869173,118,"A",4,3,5
7,1,4,5,5,1,2,58561871,57,"A",3,6,6
4,1,4,5,5,1,3,431177337,24,"B",5,4,2
1,1,5,5,1,1,3,1373911520,19,"B",3,5,3
6,3,7,1,5,1,2,687313227,56,"A",2,7,7
3,1,6,1,5,2,1,1958717704,70,"B",6,5,6
3,1,2,3,4,1,3,514506465,123,"A",4,7,7
1,6,3,3,5,2,2,1547624198,94,"B",1,5,7
7,3,1,3,3,1,3,1450174563,120,"A",4,4,4
1,4,4,2,3,2,1,283422053,81,"A",2,5,5
5,5,5,3,2,1,1,2079964244,86,"B",2,3,6
5,1,6,1,5,2,1,1338763021,70,"B",5,1,1
6,7,6,2,2,1,3,1821583918,29,"A",3,5,2
3,3,5,1,2,1,1,8268028,124,"B",2,2,1
3,5,5,3,2,1,1,1699096140,97,"A",2,3,4
2,6,6,5,5,1,2,1812168108,41,"A",3,1,3
7,5,1,2,4,2,3,405432378,22,"B",7,3,7
2,4,7,1,3,1,2,1203593234,54,"B",4,7,3
6,3,4,5,1,2,3,1200720403,98,"A",1,5,4
3,2,3,2,1,1,3,1747668942,37,"A",7,3,5
3,1,4,2,2,2,2,320121302,34,"B",6,7,7
5,4,5,5,5,1,2,1238999419,108,"B",6,1,2
1,3,3,5,5,1,2,1856859564,106,"A",5,5,5
7,3,5,5,1,2,1,1793479519,106,"A",1,4,7
3,7,1,2,2,2,2,1503744455,45,"B",4,6,2
5,4,6,1,2,1,1,1549897472,124,"A",1,4,6
2,1,6,3,4,1,1,935247020,58,"B",5,6,4
1,4,7,5,5,2,3,1314187092,90,"A",7,5,2
7,6,1,2,3,2,1,1341293966,55,"B",6,6,6
7,2,3,2,2,1,3,199896026,50,"B",3,1,7
5,1,2,3,1,1,1,1639819711,39,"A",2,1,3
6,5,5,1,3,1,1,1265082136,45,"B",5,4,1
4,6,3,4,5,1,2,976675011,31,"A",3,2,7
2,5,5,2,2,2,3,240669133,65,"A",5,5,5
6,7,4,2,2,2,3,1980971726,54,"B",2,3,3
1,1,6,2,4,2,2,27392328,98,"A",6,1,2
6,1,4,1,2,1,2,332267078,33,"B",3,3,6
4,7,2,4,4,2,2,1784542637,66,"B",3,3,1
2,5,7,5,5,1,1,887401339,109,"A",2,7,4
6,5,4,5,4,1,2,382392484,71,"B",1,7,6
2,2,3,4,5,1,2,484314305,62,"A",5,3,3
6,6,6,5,3,1,2,1180716024,107,"B",7,5,7
3,6,2,5,1,1,3,1398335715,63,"A",6,6,5
6,7,7,4,4,1,2,141014099,52,"A",5,3,6
7,3,2,1,1,1,1,671670407,54,"B",3,4,7
7,6,4,3,5,1,3,905815652,34,"B",5,6,2
7,2,1,4,2,1,2,67753541,111,"A",3,7,3
1,1,3,3,4,2,2,839720907,115,"B",1,3,4
4,6,2,1,5,1,2,1243501724,26,"A",5,2,4
7,1,6,3,5,1,3,1478149603,96,"B",4,5,1
7,5,4,3,5,1,1,1486973732,37,"A",6,3,6
1,7,1,3,1,1,2,1445215005,23,"B",4,5,6
5,5,4,3,5,1,1,13990206,120,"A",4,3,6
2,6,2,4,4,2,1,1283540093,50,"A",3,1,5
