"CustomerID","CLV","MonthlyPremium","LifetimeClaims","Last5YearsClaims","CoverageType","SalesChannel","MonthsSinceLastClaim","MonthsSincePolicyInception","NumberOfComplaints","NumberOfPolicies","PolicyType","VehicleClass","VehicleSize","State","Location","Gender","EducationLevel","EmploymentStatus","MaritalStatus"
"AD63766",5678.026488,162,777.6,777.6,"Extended","Branch",22,26,0,1,"Personal Auto L2","Two-Door Car","Large","MD","Suburban","Male","Bachelor","Unemployed","Married"
"AD71478",6860.633872,172,20.95661,20.95661,"Extended","Agent",10,52,0,1,"Personal Auto L3","Four-Door Car","Large","DE","Rural","Male","High School or Below","Employed","Married"
"AD89594",25634.82696,134,604.54545,604.54545,"Basic","Agent",4,25,0,2,"Personal Auto L2","Four-Door Car","Midsize","PA","Urban","Male","College","Employed","Single"
"AD95939",53023.2089,458,2198.4,2001.02330725632,"Extended","Web",14,72,0,2,"Personal Auto L1","Luxury Car","Midsize","PA","Suburban","Male","Bachelor","Employed","Single"
"AE23906",19633.056604,124,257.939458,257.939458,"Basic","Branch",15,7,0,2,"Personal Auto L2","Four-Door Car","Midsize","DE","Rural","Male","College","Employed","Married"
"AE30506",4792.438584,132,866.320568,639.458254430091,"Basic","Call Center",6,71,2,1,"Personal Auto L3","Four-Door Car","Large","PA","Suburban","Female","Bachelor","Unemployed","Married"
"AE60813",9986.050546,126,202.6833,101.34165,"Basic","Branch",10,67,1,7,"Personal Auto L3","Four-Door Car","Midsize","MD","Rural","Female","College","Employed","Married"
"AE62631",16855.447538,144,746.649346,537.411309279532,"Basic","Agent",10,99,0,2,"Personal Auto L1","Two-Door Car","Midsize","MD","Suburban","Male","Bachelor","Employed","Married"
"AE74442",14758.913646,122,410.589854,187.235204393307,"Basic","Agent",18,93,0,2,"Corporate Auto L2","Four-Door Car","Midsize","PA","Urban","Female","Bachelor","Employed","Married"
"AE89300",16449.540518,208,648.194866,438.177853346716,"Basic","Agent",8,74,0,3,"Personal Auto L3","SUV","Midsize","DE","Urban","Female","Bachelor","Employed","Single"
"AE90216",9949.603078,130,935.607276,716.244105724273,"Basic","Branch",5,68,3,9,"Personal Auto L2","Two-Door Car","Midsize","PA","Suburban","Male","Bachelor","Employed","Divorced"
"AE93522",14424.287726,122,122.57105,122.57105,"Basic","Branch",1,5,0,2,"Corporate Auto L2","Two-Door Car","Midsize","NJ","Rural","Male","Bachelor","Employed","Single"
"AE98193",15718.829138,226,1627.2,1627.2,"Basic","Branch",19,10,0,7,"Personal Auto L1","SUV","Midsize","NJ","Suburban","Male","High School or Below","Unemployed","Single"
"AF10970",11946.28686,146,700.8,487.69323294738,"Basic","Call Center",23,90,0,3,"Corporate Auto L3","Four-Door Car","Midsize","DE","Suburban","Female","Bachelor","Employed","Married"
"AF17671",15530.456332,194,931.2,931.2,"Extended","Web",26,25,0,3,"Personal Auto L2","Four-Door Car","Midsize","NJ","Suburban","Female","Bachelor","Employed","Married"
"AF20716",4858.749108,122,277.176582,277.176582,"Basic","Agent",21,57,0,1,"Personal Auto L3","Two-Door Car","Midsize","MD","Rural","Male","Bachelor","Employed","Married"
"AF36894",8785.965076,226,1084.8,1084.8,"Basic","Agent",20,20,0,1,"Corporate Auto L3","SUV","Midsize","PA","Suburban","Male","Bachelor","Employed","Married"
"AF37776",20838.33486,258,401.324594,191.096625124873,"Extended","Call Center",8,69,0,9,"Personal Auto L1","SUV","Large","PA","Rural","Female","Bachelor","Employed","Married"
"AF41118",14511.428906,188,902.4,902.4,"Extended","Branch",12,33,0,7,"Personal Auto L2","Two-Door Car","Small","PA","Suburban","Male","College","Medical Leave","Married"
"AF47139",16812.770828,140,87.097946,87.097946,"Basic","Agent",15,52,0,2,"Personal Auto L1","Four-Door Car","Midsize","MD","Rural","Female","College","Employed","Married"
"AF48816",11585.332632,144,691.2,471.930574176989,"Basic","Web",26,65,0,5,"Personal Auto L3","Four-Door Car","Large","DE","Suburban","Female","Bachelor","Employed","Married"
"AF49027",25654.85662,234,1684.8,1684.8,"Premium","Agent",25,43,0,2,"Personal Auto L3","Two-Door Car","Midsize","DE","Suburban","Female","College","Unemployed","Single"
"AF49625",14378.21251,180,857.815936,630.576205094387,"Extended","Agent",6,64,0,6,"Corporate Auto L2","Two-Door Car","Small","MD","Urban","Female","Bachelor","Employed","Single"
"AF69537",14659.555108,370,1776,1563.13020330953,"Premium","Agent",9,67,0,1,"Personal Auto L3","SUV","Midsize","DE","Suburban","Male","College","Employed","Married"
"AF81450",22863.46178,200,1177.484502,1177.484502,"Basic","Branch",4,55,0,2,"Personal Auto L3","SUV","Small","PA","Suburban","Male","High School or Below","Disabled","Married"
"AG22225",13883.801624,192,921.6,921.6,"Extended","Call Center",21,18,0,3,"Personal Auto L3","Four-Door Car","Small","MD","Suburban","Male","High School or Below","Unemployed","Married"
"AG32304",10837.453074,134,181.048914,181.048914,"Basic","Call Center",25,26,0,3,"Personal Auto L3","Four-Door Car","Midsize","VA","Rural","Female","College","Employed","Married"
"AG39150",4712.14991,126,604.8,386.139078458997,"Basic","Agent",22,94,0,1,"Personal Auto L3","Four-Door Car","Midsize","MD","Suburban","Male","Bachelor","Unemployed","Married"
"AG45299",17191.452798,216,372.919214,156.146777830982,"Basic","Web",12,87,0,8,"Personal Auto L3","SUV","Small","PA","Rural","Male","College","Employed","Divorced"
"AG47947",28048.71678,230,512.87606,512.87606,"Premium","Web",10,55,0,2,"Personal Auto L3","Four-Door Car","Midsize","NJ","Rural","Female","High School or Below","Employed","Married"
"AG56998",4897.292276,138,662.4,436.463748172881,"Basic","Branch",7,68,0,1,"Corporate Auto L3","Two-Door Car","Midsize","MD","Suburban","Male","College","Unemployed","Married"
"AG58599",5610.197124,140,672,672,"Basic","Web",12,3,0,1,"Personal Auto L3","Four-Door Car","Midsize","MD","Suburban","Female","High School or Below","Employed","Married"
"AG62087",6825.133194,174,652.265734,652.265734,"Extended","Agent",17,42,0,1,"Corporate Auto L3","Four-Door Car","Midsize","PA","Urban","Male","Bachelor","Employed","Married"
"AG62140",10772.650348,136,698.863972,475.329144612313,"Basic","Agent",18,67,1,3,"Personal Auto L2","Four-Door Car","Small","PA","Suburban","Female","College","Employed","Married"
"AG85127",16170.89709,136,528.080314,300.469600796959,"Basic","Web",30,80,0,2,"Special Auto L3","Four-Door Car","Midsize","MD","Urban","Male","Bachelor","Employed","Married"
"AG85615",48287.75112,174,1252.8,1032.42737160667,"Extended","Web",9,75,0,2,"Special Auto L1","Four-Door Car","Midsize","MD","Suburban","Male","College","Unemployed","Single"
"AH17051",29400.99568,188,1108.287596,899.821252004399,"Extended","Branch",34,66,0,2,"Personal Auto L3","Four-Door Car","Midsize","PA","Suburban","Male","Bachelor","Employed","Married"
"AH22694",11700.902772,146,700.8,700.8,"Basic","Call Center",2,35,1,3,"Corporate Auto L1","Four-Door Car","Midsize","PA","Suburban","Male","Doctor","Employed","Married"
"AH39293",5233.227806,132,633.6,633.6,"Basic","Agent",6,27,0,1,"Personal Auto L1","Two-Door Car","Midsize","PA","Suburban","Male","College","Employed","Divorced"
"AH41065",37886.53798,158,988.375286,988.375286,"Extended","Web",11,33,1,2,"Personal Auto L1","Four-Door Car","Midsize","NJ","Suburban","Male","High School or Below","Employed","Married"
"AH41449",15814.266576,202,303.671148,303.671148,"Basic","Branch",32,51,0,3,"Personal Auto L2","Sports Car","Midsize","VA","Rural","Male","College","Employed","Married"
"AH53588",9273.09294,132,633.6,633.6,"Basic","Agent",7,43,1,5,"Personal Auto L2","Two-Door Car","Midsize","PA","Suburban","Male","College","Retired","Married"
"AH55475",66106.53738,244,1171.2,1171.2,"Extended","Web",1,18,3,2,"Personal Auto L2","SUV","Small","DE","Suburban","Male","College","Employed","Married"
"AH58807",102852.4963,370,1320.948548,1320.948548,"Basic","Agent",13,39,3,2,"Personal Auto L2","Luxury Car","Midsize","DE","Urban","Female","College","Employed","Married"
"AH65907",5718.81714,142,681.6,681.6,"Basic","Agent",12,43,0,1,"Personal Auto L3","Four-Door Car","Large","PA","Suburban","Female","Bachelor","Employed","Married"
"AH84063",9438.900104,242,172.640044,172.640044,"Extended","Call Center",11,20,4,1,"Corporate Auto L3","SUV","Midsize","MD","Rural","Female","College","Employed","Married"
"AH89786",4348.223974,130,936,715.137702550185,"Basic","Branch",35,62,3,1,"Personal Auto L1","Two-Door Car","Midsize","MD","Suburban","Male","High School or Below","Retired","Married"
"AH92481",9346.392758,234,1123.2,1123.2,"Basic","Call Center",24,36,0,1,"Corporate Auto L3","SUV","Midsize","PA","Suburban","Female","College","Employed","Married"
"AH97088",15607.007648,196,279.429794,279.429794,"Extended","Agent",5,32,0,7,"Personal Auto L2","Two-Door Car","Midsize","VA","Rural","Male","High School or Below","Employed","Divorced"
"AH99727",11246.628944,142,681.6,473.150511751776,"Basic","Branch",20,92,0,5,"Personal Auto L3","Four-Door Car","Midsize","DE","Suburban","Female","Bachelor","Disabled","Married"
"AI11191",8456.49607,212,330.474888,119.08126548488,"Basic","Branch",12,76,0,1,"Personal Auto L2","SUV","Midsize","DE","Rural","Female","High School or Below","Employed","Single"
"AI14767",81377.06884,228,1094.4,1094.4,"Basic","Call Center",13,57,0,2,"Personal Auto L3","SUV","Small","PA","Suburban","Female","High School or Below","Employed","Married"
"AI16519",9755.22476,132,840.78688,840.78688,"Basic","Agent",4,30,0,5,"Personal Auto L3","Two-Door Car","Midsize","VA","Suburban","Male","High School or Below","Unemployed","Married"
"AI47152",15985.55821,132,594.103536,594.103536,"Basic","Agent",19,26,0,2,"Personal Auto L2","Four-Door Car","Midsize","VA","Urban","Female","College","Employed","Married"
"AI49188",25774.8633,216,1132.944494,1132.944494,"Premium","Agent",18,38,0,2,"Personal Auto L3","Two-Door Car","Midsize","VA","Suburban","Female","Bachelor","Employed","Married"
"AI49712",5187.795774,144,691.2,469.459558494518,"Basic","Call Center",31,99,0,1,"Personal Auto L1","Four-Door Car","Large","NJ","Suburban","Female","High School or Below","Unemployed","Single"
"AI58313",73892.12786,232,1327.287602,1102.15495881817,"Basic","Call Center",25,88,1,2,"Personal Auto L3","Sports Car","Midsize","VA","Suburban","Female","College","Employed","Divorced"
"AI58500",5378.3369,136,783.374736,568.147211807394,"Basic","Web",18,86,1,1,"Personal Auto L2","Two-Door Car","Small","DE","Suburban","Female","College","Employed","Married"
"AI61368",35303.92678,190,912,912,"Extended","Web",19,48,0,2,"Personal Auto L3","Four-Door Car","Small","VA","Suburban","Female","High School or Below","Medical Leave","Single"
"AI74959",7867.627986,206,1349.947228,1349.947228,"Basic","Web",6,20,0,1,"Personal Auto L3","SUV","Midsize","PA","Suburban","Male","High School or Below","Employed","Single"
"AI85843",13513.302808,172,443.712368,443.712368,"Extended","Branch",1,27,2,9,"Personal Auto L3","Four-Door Car","Midsize","DE","Urban","Female","Master","Employed","Married"
"AJ32539",5658.624638,144,691.2,691.2,"Basic","Web",12,46,0,1,"Personal Auto L3","Four-Door Car","Midsize","MD","Suburban","Male","Bachelor","Employed","Married"
"AJ58038",4792.438584,132,866.320568,640.442800933639,"Basic","Call Center",6,71,2,1,"Corporate Auto L1","Four-Door Car","Large","PA","Suburban","Female","Bachelor","Unemployed","Married"
"AJ69060",28521.82882,198,408.242952,408.242952,"Extended","Branch",2,30,0,2,"Personal Auto L1","Two-Door Car","Midsize","PA","Rural","Male","College","Unemployed","Married"
"AJ69778",13028.861184,168,196.74453,196.74453,"Extended","Web",3,37,3,8,"Personal Auto L3","Four-Door Car","Midsize","MD","Rural","Female","High School or Below","Employed","Divorced"
"AJ89107",14698.65698,186,1130.673862,1130.673862,"Extended","Branch",24,27,0,8,"Personal Auto L3","Four-Door Car","Large","DE","Suburban","Male","High School or Below","Employed","Married"
"AJ89108",22018.26098,566,2716.8,2716.8,"Premium","Agent",16,43,0,1,"Personal Auto L3","Luxury Car","Midsize","PA","Suburban","Female","Bachelor","Employed","Single"
"AK11669",20261.86884,170,816,594.776730595179,"Extended","Branch",6,75,0,2,"Corporate Auto L3","Two-Door Car","Midsize","DE","Suburban","Female","Doctor","Employed","Divorced"
"AK11719",4544.61462,128,572.249304,572.249304,"Basic","Agent",35,59,0,1,"Corporate Auto L3","Four-Door Car","Midsize","PA","Urban","Male","Master","Unemployed","Single"
"AK17025",11603.656284,166,1195.2,1195.2,"Extended","Branch",17,28,0,4,"Personal Auto L2","Four-Door Car","Midsize","NJ","Suburban","Male","Bachelor","Unemployed","Single"
"AK44985",7706.946896,220,1584,1584,"Basic","Agent",13,3,0,1,"Personal Auto L2","SUV","Large","PA","Suburban","Female","College","Unemployed","Single"
"AK46006",72586.29356,484,2700.758362,2700.758362,"Extended","Call Center",5,50,0,2,"Personal Auto L1","Luxury SUV","Midsize","MD","Suburban","Male","Bachelor","Medical Leave","Married"
"AK54675",11071.927296,276,1383.394916,1383.394916,"Extended","Call Center",28,40,0,1,"Corporate Auto L2","SUV","Large","PA","Suburban","Female","Bachelor","Employed","Divorced"
"AK59340",11202.276122,142,199.018382,99.509191,"Basic","Branch",29,62,0,8,"Corporate Auto L3","Four-Door Car","Midsize","PA","Rural","Male","High School or Below","Employed","Single"
"AK61491",4982.634048,124,135.061808,67.530904,"Basic","Agent",30,77,0,1,"Personal Auto L3","Four-Door Car","Large","MD","Rural","Male","Doctor","Employed","Divorced"
"AK72422",58099.4263,390,2808,2808,"Premium","Call Center",6,47,0,2,"Corporate Auto L3","Sports Car","Small","PA","Suburban","Male","College","Disabled","Divorced"
"AK90865",16415.716544,220,1373.81654,1373.81654,"Basic","Agent",16,17,0,5,"Special Auto L2","Sports Car","Midsize","MD","Suburban","Female","High School or Below","Unemployed","Single"
"AL21967",20342.95558,168,142.622422,142.622422,"Extended","Call Center",34,2,0,2,"Corporate Auto L2","Four-Door Car","Midsize","MD","Rural","Male","Master","Employed","Married"
"AL27471",7822.236404,194,902.638454,902.638454,"Extended","Web",27,59,0,1,"Personal Auto L3","Four-Door Car","Midsize","MD","Urban","Male","Doctor","Employed","Married"
"AL35726",7493.50325,188,39.151366,39.151366,"Extended","Call Center",14,38,1,1,"Personal Auto L2","Two-Door Car","Large","MD","Rural","Female","College","Employed","Married"
"AL43475",14746.451982,366,4138.619708,4138.619708,"Basic","Branch",7,37,0,1,"Personal Auto L3","Luxury Car","Large","PA","Suburban","Female","College","Employed","Married"
"AL43715",16621.409464,208,407.773738,407.773738,"Premium","Agent",10,45,0,6,"Personal Auto L3","Four-Door Car","Midsize","VA","Rural","Male","Master","Employed","Married"
"AL46984",17460.843954,146,700.8,700.8,"Basic","Branch",12,18,0,2,"Personal Auto L2","Four-Door Car","Midsize","PA","Suburban","Male","High School or Below","Employed","Married"
"AL50693",7135.00751,204,1320.860912,1320.860912,"Basic","Agent",28,11,0,1,"Corporate Auto L2","SUV","Midsize","MD","Suburban","Male","Bachelor","Unemployed","Married"
"AL78075",7620.476562,216,1555.2,1555.2,"Premium","Branch",7,57,0,1,"Personal Auto L2","Four-Door Car","Midsize","MD","Suburban","Male","High School or Below","Unemployed","Single"
"AL95338",13358.279212,182,1310.4,1099.12033106946,"Extended","Agent",3,94,0,5,"Personal Auto L2","Four-Door Car","Midsize","PA","Suburban","Female","High School or Below","Unemployed","Single"
"AL96740",5807.879526,146,119.723926,59.861963,"Basic","Agent",17,69,1,1,"Personal Auto L3","Four-Door Car","Midsize","PA","Rural","Female","College","Employed","Married"
"AM17304",14436.751556,180,924.086006,924.086006,"Extended","Call Center",31,30,0,3,"Personal Auto L3","Four-Door Car","Midsize","DE","Suburban","Female","Master","Employed","Single"
"AM26598",5826.986528,144,619.137272,396.072006054645,"Basic","Agent",7,92,0,1,"Personal Auto L3","Four-Door Car","Midsize","DE","Urban","Female","College","Employed","Married"
"AM26717",6246.161988,202,1920.230798,1701.94354944261,"Basic","Agent",1,83,4,1,"Personal Auto L1","SUV","Large","PA","Suburban","Male","Bachelor","Unemployed","Married"
"AM28777",5414.859072,134,22.093578,11.046789,"Basic","Agent",16,85,0,1,"Personal Auto L1","Four-Door Car","Midsize","MD","Rural","Female","College","Employed","Married"
"AM29546",10450.06286,132,787.056108,584.181701559837,"Basic","Call Center",24,66,0,5,"Personal Auto L2","Two-Door Car","Midsize","MD","Suburban","Male","College","Employed","Married"
"AM30008",28262.24268,370,1776,1776,"Basic","Web",29,26,0,3,"Personal Auto L2","Luxury Car","Midsize","PA","Suburban","Male","High School or Below","Employed","Single"
"AM32820",7419.839448,224,2165.797452,2165.797452,"Basic","Agent",13,33,0,1,"Personal Auto L2","SUV","Midsize","PA","Suburban","Male","Bachelor","Unemployed","Single"
"AM34581",13360.293602,174,142.21694,142.21694,"Extended","Branch",19,44,3,6,"Corporate Auto L2","Two-Door Car","Midsize","MD","Rural","Female","Bachelor","Employed","Married"
"AM36670",9995.561376,128,265.89443,56.4803853343144,"Basic","Branch",17,88,0,3,"Personal Auto L3","Four-Door Car","Large","PA","Rural","Female","College","Employed","Single"
"AM52614",8954.90402,238,1142.4,1142.4,"Basic","Branch",26,26,4,1,"Personal Auto L2","Sports Car","Midsize","MD","Suburban","Female","Bachelor","Employed","Divorced"
"AM53473",11643.574766,148,710.4,710.4,"Basic","Agent",21,23,0,3,"Special Auto L3","Four-Door Car","Small","DE","Suburban","Female","Bachelor","Employed","Single"
"AM57175",30001.68476,152,1015.121458,808.185951039178,"Extended","Branch",6,70,1,2,"Personal Auto L3","Four-Door Car","Small","MD","Suburban","Female","High School or Below","Employed","Divorced"
"AM72411",4559.393602,122,585.6,585.6,"Basic","Branch",20,49,0,1,"Personal Auto L1","Two-Door Car","Midsize","MD","Suburban","Male","High School or Below","Medical Leave","Divorced"
"AM79057",4575.83458,122,477.06149,477.06149,"Basic","Web",27,32,5,1,"Personal Auto L2","Four-Door Car","Midsize","MD","Urban","Female","Bachelor","Employed","Married"
"AM88377",10099.530618,130,911.308064,695.58055855627,"Basic","Branch",17,99,0,4,"Corporate Auto L2","Two-Door Car","Midsize","PA","Suburban","Female","Bachelor","Retired","Married"
"AM89558",9273.09294,132,633.6,633.6,"Basic","Agent",7,43,1,5,"Corporate Auto L3","Two-Door Car","Midsize","VA","Suburban","Male","College","Retired","Married"
"AM92343",23199.00438,192,680.613168,680.613168,"Extended","Agent",25,17,0,2,"Personal Auto L3","Four-Door Car","Midsize","MD","Urban","Female","High School or Below","Employed","Married"
"AM94127",10315.284564,130,81.515966,40.757983,"Basic","Branch",11,96,0,5,"Corporate Auto L3","Four-Door Car","Midsize","MD","Rural","Male","College","Employed","Single"
"AM97901",45972.30786,384,2673.863432,2673.863432,"Premium","Branch",13,37,0,2,"Special Auto L1","Sports Car","Midsize","VA","Suburban","Female","College","Employed","Single"
"AM99192",18123.903182,234,202.576114,101.288057,"Basic","Call Center",5,86,1,6,"Personal Auto L3","SUV","Midsize","DE","Rural","Male","College","Employed","Married"
"AN21193",13866.67065,140,1008,787.394343896495,"Basic","Agent",19,66,1,2,"Personal Auto L3","Four-Door Car","Midsize","NJ","Suburban","Female","Bachelor","Unemployed","Single"
"AN32867",6249.867654,162,883.530736,883.530736,"Extended","Branch",18,2,2,1,"Personal Auto L3","Four-Door Car","Midsize","PA","Suburban","Male","Bachelor","Employed","Single"
"AN36757",44112.00992,184,817.100884,577.179613449719,"Extended","Branch",10,70,2,2,"Personal Auto L3","Four-Door Car","Midsize","MD","Urban","Male","Master","Employed","Married"
"AN47199",17716.704064,160,162.511482,162.511482,"Extended","Agent",6,28,0,2,"Personal Auto L2","Two-Door Car","Large","VA","Rural","Female","College","Unemployed","Married"
"AN53225",49345.31062,152,729.6,505.142301108148,"Extended","Agent",8,77,0,2,"Personal Auto L1","Two-Door Car","Midsize","NJ","Suburban","Male","High School or Below","Unemployed","Single"
"AN57220",34527.28096,122,143.884352,143.884352,"Basic","Web",24,2,0,2,"Special Auto L3","Four-Door Car","Midsize","MD","Rural","Female","Bachelor","Employed","Married"
"AN67558",6576.419618,204,1468.8,1468.8,"Basic","Call Center",16,1,1,1,"Personal Auto L3","SUV","Large","VA","Suburban","Male","College","Unemployed","Single"
"AN79079",25463.90322,210,1008,1008,"Basic","Agent",3,56,0,2,"Personal Auto L2","SUV","Large","DE","Suburban","Male","Doctor","Employed","Married"
