"Brand","RichFullTaste","GoodTaste","NoAftertaste","Refreshing","Light","Prestigious","Masculine","BrewingTradition","ForYoungAdults","GivesBuzz","DrinkOut","DrinkAtBar","DrinkWithFriends","HomeAfterWork","ToServeGuests","LowerPrice","GoodValue"
"Yuengling",4,4,3,3,3,2,3,4,3,3,2,4,4,3,4,2,3
"Yuengling",4,3,3,3,4,3,3,4,3,2,3,4,3,3,3,3,3
"Yuengling",2,4,4,4,3,3,3,4,3,3,2,4,2,3,4,2,2
"Yuengling",3,3,4,3,4,4,2,4,2,3,3,4,4,3,4,2,3
"Yuengling",3,3,3,5,4,4,3,3,3,2,3,3,4,4,3,2,3
"Yuengling",2,3,3,3,3,3,3,4,3,2,3,4,4,4,4,2,2
"Yuengling",3,4,5,4,3,3,3,3,3,2,4,3,3,3,3,2,3
"Yuengling",3,4,3,3,4,3,3,4,3,2,3,4,4,3,4,2,4
"Yuengling",3,3,3,3,3,3,3,4,3,2,4,3,4,3,4,2,3
"Yuengling",4,4,3,3,4,4,2,3,2,2,3,5,4,3,3,2,2
"Yuengling",4,4,3,3,4,2,3,4,3,3,3,3,4,3,3,1,3
"Yuengling",3,4,3,4,4,3,4,4,3,2,3,3,3,4,4,2,3
"Yuengling",3,3,3,4,3,3,2,3,3,3,3,4,3,3,3,1,3
"Yuengling",3,4,4,3,4,4,2,3,2,2,4,4,3,3,3,2,2
"Yuengling",3,4,4,4,3,4,2,3,4,3,3,4,4,3,4,2,2
"Yuengling",3,4,3,3,4,4,2,3,3,2,3,3,3,3,3,3,3
"Yuengling",3,3,3,2,3,3,3,3,3,2,4,4,4,3,3,2,2
"Yuengling",3,3,4,4,4,4,2,4,2,2,4,4,3,3,4,2,3
"Yuengling",2,4,4,3,3,4,2,4,3,2,4,4,4,4,3,3,3
"Yuengling",3,4,4,4,5,4,3,4,3,2,4,4,3,3,4,2,3
"Yuengling",3,3,3,4,3,3,2,4,3,2,4,4,4,3,4,2,2
"Yuengling",3,4,3,4,4,3,3,3,3,3,3,3,4,3,3,2,4
"Yuengling",3,4,4,3,3,4,2,4,3,2,3,4,3,3,4,2,3
"Yuengling",2,4,4,4,3,3,2,3,2,2,3,3,4,3,4,1,2
"Yuengling",3,3,3,4,4,4,3,3,2,3,4,3,4,4,4,3,3
"Yuengling",3,3,3,4,3,3,3,3,3,3,3,4,3,3,4,1,3
"Yuengling",4,3,3,5,4,4,2,4,4,2,4,4,3,3,4,2,3
"Yuengling",3,3,3,3,3,4,3,3,3,4,4,4,4,3,4,2,3
"Yuengling",3,4,4,3,4,3,3,3,4,3,4,4,4,3,4,2,4
"Yuengling",4,4,3,3,4,4,3,3,2,2,4,4,3,3,3,3,3
"Yuengling",3,4,3,4,4,4,2,4,3,2,3,4,3,4,3,2,2
"Yuengling",3,4,3,3,3,3,2,3,2,3,4,3,4,4,5,2,2
"Yuengling",3,3,3,3,3,3,2,3,4,2,3,4,3,2,3,2,3
"Yuengling",3,4,4,3,3,4,3,4,2,3,4,4,3,4,3,1,3
"Yuengling",2,4,3,3,4,3,2,3,3,2,3,4,3,4,3,3,3
"Yuengling",4,3,3,3,3,4,3,4,4,2,4,4,3,4,4,2,3
"Yuengling",3,4,3,4,4,5,2,4,3,2,3,4,4,3,4,2,2
"Yuengling",3,4,3,4,4,3,3,4,3,3,4,4,4,2,3,2,3
"Yuengling",3,4,3,3,4,3,3,3,4,2,4,3,3,3,4,3,3
"Yuengling",3,4,4,5,4,4,2,4,3,2,4,3,4,3,4,3,3
"Yuengling",3,4,3,3,3,4,3,4,3,1,4,4,4,3,4,1,2
"Yuengling",3,4,4,3,4,4,3,3,3,2,3,4,4,3,4,2,3
"Yuengling",4,3,4,3,3,3,2,4,3,3,3,4,3,3,4,2,3
"Yuengling",2,3,3,3,4,4,2,3,3,2,3,3,3,4,4,2,2
"Yuengling",4,3,3,3,4,3,3,4,3,2,3,3,3,4,3,2,3
"Yuengling",3,3,4,3,4,4,2,4,3,3,3,4,4,3,4,2,2
"Yuengling",2,3,3,3,3,4,2,3,2,2,3,4,4,4,4,2,3
"Yuengling",3,3,3,4,3,3,2,3,4,3,3,4,3,3,4,2,3
"Yuengling",3,3,4,4,3,4,2,4,2,2,4,3,4,4,4,2,3
"Yuengling",3,4,3,3,3,3,3,4,3,2,3,3,4,3,4,2,3
"Yuengling",3,3,4,4,3,3,2,3,2,2,3,4,3,3,4,2,2
"Yuengling",3,3,3,4,4,4,2,4,3,2,4,4,3,3,3,3,3
"Yuengling",4,4,3,4,4,3,2,4,2,2,3,3,3,3,4,2,2
"Yuengling",3,3,2,4,4,3,2,3,3,2,3,4,2,4,3,3,2
"Yuengling",3,4,4,4,3,3,3,2,2,3,3,3,4,3,3,2,3
"Yuengling",3,4,3,3,3,3,2,3,3,3,3,3,3,4,4,2,3
"Yuengling",3,4,3,3,3,3,3,4,2,2,3,3,4,3,4,3,3
"Yuengling",2,4,3,4,4,3,3,4,3,3,3,4,3,3,4,1,3
"Yuengling",3,3,4,3,4,3,3,3,4,3,4,4,3,4,3,2,3
"Yuengling",3,4,3,4,5,3,3,4,4,2,3,4,4,3,4,2,2
"Yuengling",4,3,4,4,3,3,3,4,3,3,3,4,3,3,5,2,3
"Yuengling",4,3,3,3,4,4,2,4,2,3,4,3,4,3,4,2,2
"Yuengling",3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,2,3
"Yuengling",3,4,3,3,3,4,3,2,3,2,4,4,4,2,3,2,3
"Yuengling",3,3,3,3,4,3,3,3,4,2,3,4,3,3,3,2,2
"Yuengling",4,3,3,3,4,4,2,3,4,2,3,4,3,3,5,2,3
"Yuengling",3,4,4,3,4,3,2,4,3,3,3,3,4,3,4,3,3
"Yuengling",2,3,3,4,4,3,3,3,3,2,4,3,4,2,4,2,4
"Yuengling",3,4,4,4,3,4,3,4,2,3,4,3,4,3,4,2,2
"Yuengling",3,3,3,3,4,3,3,4,3,2,4,4,3,4,5,2,3
"Yuengling",3,3,3,4,3,4,3,3,3,4,3,3,3,3,4,2,3
"Yuengling",4,4,4,4,4,3,2,3,2,2,2,4,4,4,3,1,3
"Yuengling",3,3,4,3,3,4,3,3,3,2,4,4,4,3,4,2,3
"Yuengling",3,4,4,3,4,3,2,4,3,3,3,4,4,3,4,3,3
"Yuengling",3,3,3,4,3,2,3,4,2,2,3,3,3,2,3,1,3
"Yuengling",3,3,3,3,2,3,3,3,2,2,4,5,4,3,4,2,3
"Yuengling",3,3,3,3,3,3,2,4,2,2,3,4,3,3,3,2,3
"Yuengling",3,3,3,4,4,3,2,3,2,4,4,3,4,3,4,2,3
"Yuengling",3,4,3,3,4,3,2,4,2,2,3,3,4,3,4,1,3
"Yuengling",3,3,4,3,4,4,2,3,3,3,3,3,4,3,4,2,3
"Yuengling",3,4,2,3,4,3,2,4,3,3,3,4,4,4,3,2,3
"Yuengling",3,4,3,4,4,3,2,5,3,2,3,3,3,3,3,2,3
"Yuengling",3,4,4,3,4,3,3,4,2,2,4,3,4,4,3,1,4
"Yuengling",3,4,3,3,4,3,3,4,2,2,3,3,5,3,4,2,2
"Yuengling",4,4,3,4,3,4,2,4,4,3,3,3,3,4,4,2,2
"Yuengling",3,4,3,4,4,3,3,4,3,2,4,3,3,3,3,2,1
"Yuengling",3,4,4,4,4,3,2,3,3,3,3,3,3,3,4,2,3
"Yuengling",3,4,4,3,4,3,2,4,3,2,4,3,3,4,4,3,2
"Yuengling",3,4,3,4,4,3,3,4,2,3,3,4,3,3,4,2,2
"Yuengling",2,4,3,3,3,3,3,3,2,2,3,4,4,3,4,3,3
"Yuengling",3,3,2,3,4,4,3,4,3,3,3,4,4,2,3,2,3
"Yuengling",3,3,4,3,3,3,2,3,3,3,3,4,4,3,3,2,3
